Rank,Player,Team,Position,Year
82,Eduardo Rodriguez,DET,SP,2014
83,Alexis Diaz,CIN,RP,2014
84,Gleyber Torres,NYY,2B,2014
85,Jose Altuve,HOU,2B,2014
86,Luis Robert Jr.,CHW,CF,2014
87,Logan Gilbert,SEA,SP,2014
88,Bo Bichette,TOR,SS,2014
89,Seiya Suzuki,CHC,RF,2014
90,Fernando Tatis Jr.,SD,RF,2014
91,Shane McClanahan,TB,SP,2014
92,Steven Kwan,CLE,LF,2014
93,Teoscar Hernandez,SEA,RF,2014
94,Eugenio Suarez,SEA,3B,2014
95,Will Smith,LAD,C,2014
96,Jesus Luzardo,MIA,SP,2014
97,Jorge Soler,MIA,DH,2014
98,Alec Bohm,PHI,1B,2014
98,Bryce Elder,ATL,SP,2014
100,Camilo Doval,SF,RP,2014
1,Ronald Acuna Jr.,ATL,RF,2015
2,Mookie Betts,LAD,RF,2015
3,Freddie Freeman,LAD,1B,2015
4,Matt Olson,ATL,1B,2015
5,Kyle Tucker,HOU,RF,2015
6,Gerrit Cole,NYY,SP,2015
7,Juan Soto,SD,LF,2015
8,Austin Riley,ATL,3B,2015
9,Corey Seager,TEX,SS,2015
10,Marcus Semien,TEX,2B,2015
11,Blake Snell,SD,SP,2015
12,Julio Rodriguez,SEA,CF,2015
13,Yandy Diaz,TB,1B,2015
13,Ozzie Albies,ATL,2B,2015
15,Corbin Carroll,ARI,LF,2015
16,Alex Bregman,HOU,3B,2015
17,Kyle Schwarber,PHI,LF,2015
18,Zac Gallen,ARI,SP,2015
19,Francisco Lindor,NYM,SS,2015
20,Bobby Witt Jr.,KC,SS,2015
21,Adolis Garcia,TEX,RF,2015
22,Justin Steele,CHC,SP,2015
23,Rafael Devers,BOS,3B,2015
24,Christian Yelich,MIL,LF,2015
25,Yordan Alvarez,HOU,LF,2015
26,Luis Castillo,SEA,SP,2015
27,Pete Alonso,NYM,1B,2015
28,Cody Bellinger,CHC,CF,2015
29,Kyle Bradish,BAL,SP,2015
30,Adley Rutschman,BAL,C,2015
31,Clayton Kershaw,LAD,SP,2015
32,Jose Ramirez,CLE,3B,2015
33,William Contreras,MIL,C,2015
34,Kodai Senga,NYM,SP,2015
35,Max Muncy,LAD,3B,2015
36,Kevin Gausman,TOR,SP,2015
37,Logan Webb,SF,SP,2015
38,Devin Williams,MIL,RP,2015
39,Trea Turner,PHI,SS,2015
40,Zack Wheeler,PHI,SP,2015
41,Luis Arraez,MIA,2B,2015
42,Marcell Ozuna,ATL,DH,2015
42,Nico Hoerner,CHC,2B,2015
44,Ketel Marte,ARI,2B,2015
45,Nathaniel Lowe,TEX,1B,2015
46,Sonny Gray,MIN,SP,2015
47,Christian Walker,ARI,1B,2015
48,Spencer Strider,ATL,SP,2015
49,Zach Eflin,TB,SP,2015
50,Felix Bautista,BAL,RP,2015
51,Corbin Burnes,MIL,SP,2015
52,Randy Arozarena,TB,LF,2015
53,Nick Castellanos,PHI,RF,2015
54,George Kirby,SEA,SP,2015
55,Merrill Kelly,ARI,SP,2015
56,Lane Thomas,WSH,RF,2015
57,J.P. Crawford,SEA,SS,2015
58,Ian Happ,CHC,LF,2015
59,Bryce Harper,PHI,DH,2015
60,Paul Goldschmidt,STL,1B,2015
61,Chris Bassitt,TOR,SP,2015
62,Gunnar Henderson,BAL,3B,2015
63,Jordan Montgomery,TEX,SP,2015
64,Framber Valdez,HOU,SP,2015
65,Aaron Judge,NYY,RF,2015
66,Brandon Nimmo,NYM,CF,2015
66,Michael Wacha,SD,SP,2015
66,Isaac Paredes,TB,3B,2015
69,Justin Verlander,HOU,SP,2015
70,Josh Hader,SD,RP,2015
71,Spencer Torkelson,DET,1B,2015
72,Anthony Santander,BAL,RF,2015
73,Vladimir Guerrero Jr.,TOR,1B,2015
74,Xander Bogaerts,SD,SS,2015
75,David Bednar,PIT,RP,2015
76,Tanner Bibee,CLE,SP,2015
77,Spencer Steer,CIN,1B,2015
78,Justin Turner,BOS,DH,2015
79,Pablo Lopez,MIN,SP,2015
80,Shohei Ohtani,LAA,DH,2015
81,Evan Phillips,LAD,RP,2015
82,Eduardo Rodriguez,DET,SP,2015
83,Alexis Diaz,CIN,RP,2015
84,Gleyber Torres,NYY,2B,2015
85,Jose Altuve,HOU,2B,2015
86,Luis Robert Jr.,CHW,CF,2015
87,Logan Gilbert,SEA,SP,2015
88,Bo Bichette,TOR,SS,2015
89,Seiya Suzuki,CHC,RF,2015
90,Fernando Tatis Jr.,SD,RF,2015
91,Shane McClanahan,TB,SP,2015
92,Steven Kwan,CLE,LF,2015
93,Teoscar Hernandez,SEA,RF,2015
94,Eugenio Suarez,SEA,3B,2015
95,Will Smith,LAD,C,2015
96,Jesus Luzardo,MIA,SP,2015
97,Jorge Soler,MIA,DH,2015
98,Alec Bohm,PHI,1B,2015
98,Bryce Elder,ATL,SP,2015
100,Camilo Doval,SF,RP,2015
1,Ronald Acuna Jr.,ATL,RF,2016
2,Mookie Betts,LAD,RF,2016
3,Freddie Freeman,LAD,1B,2016
4,Matt Olson,ATL,1B,2016
5,Kyle Tucker,HOU,RF,2016
6,Gerrit Cole,NYY,SP,2016
7,Juan Soto,SD,LF,2016
8,Austin Riley,ATL,3B,2016
9,Corey Seager,TEX,SS,2016
10,Marcus Semien,TEX,2B,2016
11,Blake Snell,SD,SP,2016
12,Julio Rodriguez,SEA,CF,2016
13,Yandy Diaz,TB,1B,2016
13,Ozzie Albies,ATL,2B,2016
15,Corbin Carroll,ARI,LF,2016
16,Alex Bregman,HOU,3B,2016
17,Kyle Schwarber,PHI,LF,2016
18,Zac Gallen,ARI,SP,2016
19,Francisco Lindor,NYM,SS,2016
20,Bobby Witt Jr.,KC,SS,2016
21,Adolis Garcia,TEX,RF,2016
22,Justin Steele,CHC,SP,2016
23,Rafael Devers,BOS,3B,2016
24,Christian Yelich,MIL,LF,2016
25,Yordan Alvarez,HOU,LF,2016
26,Luis Castillo,SEA,SP,2016
27,Pete Alonso,NYM,1B,2016
28,Cody Bellinger,CHC,CF,2016
29,Kyle Bradish,BAL,SP,2016
30,Adley Rutschman,BAL,C,2016
31,Clayton Kershaw,LAD,SP,2016
32,Jose Ramirez,CLE,3B,2016
33,William Contreras,MIL,C,2016
34,Kodai Senga,NYM,SP,2016
35,Max Muncy,LAD,3B,2016
36,Kevin Gausman,TOR,SP,2016
37,Logan Webb,SF,SP,2016
38,Devin Williams,MIL,RP,2016
39,Trea Turner,PHI,SS,2016
40,Zack Wheeler,PHI,SP,2016
41,Luis Arraez,MIA,2B,2016
42,Marcell Ozuna,ATL,DH,2016
42,Nico Hoerner,CHC,2B,2016
44,Ketel Marte,ARI,2B,2016
45,Nathaniel Lowe,TEX,1B,2016
46,Sonny Gray,MIN,SP,2016
47,Christian Walker,ARI,1B,2016
48,Spencer Strider,ATL,SP,2016
49,Zach Eflin,TB,SP,2016
50,Felix Bautista,BAL,RP,2016
51,Corbin Burnes,MIL,SP,2016
52,Randy Arozarena,TB,LF,2016
53,Nick Castellanos,PHI,RF,2016
54,George Kirby,SEA,SP,2016
55,Merrill Kelly,ARI,SP,2016
56,Lane Thomas,WSH,RF,2016
57,J.P. Crawford,SEA,SS,2016
58,Ian Happ,CHC,LF,2016
59,Bryce Harper,PHI,DH,2016
60,Paul Goldschmidt,STL,1B,2016
61,Chris Bassitt,TOR,SP,2016
62,Gunnar Henderson,BAL,3B,2016
63,Jordan Montgomery,TEX,SP,2016
64,Framber Valdez,HOU,SP,2016
65,Aaron Judge,NYY,RF,2016
66,Brandon Nimmo,NYM,CF,2016
66,Michael Wacha,SD,SP,2016
66,Isaac Paredes,TB,3B,2016
69,Justin Verlander,HOU,SP,2016
70,Josh Hader,SD,RP,2016
71,Spencer Torkelson,DET,1B,2016
72,Anthony Santander,BAL,RF,2016
73,Vladimir Guerrero Jr.,TOR,1B,2016
74,Xander Bogaerts,SD,SS,2016
75,David Bednar,PIT,RP,2016
76,Tanner Bibee,CLE,SP,2016
77,Spencer Steer,CIN,1B,2016
78,Justin Turner,BOS,DH,2016
79,Pablo Lopez,MIN,SP,2016
80,Shohei Ohtani,LAA,DH,2016
81,Evan Phillips,LAD,RP,2016
82,Eduardo Rodriguez,DET,SP,2016
83,Alexis Diaz,CIN,RP,2016
84,Gleyber Torres,NYY,2B,2016
85,Jose Altuve,HOU,2B,2016
86,Luis Robert Jr.,CHW,CF,2016
87,Logan Gilbert,SEA,SP,2016
88,Bo Bichette,TOR,SS,2016
89,Seiya Suzuki,CHC,RF,2016
90,Fernando Tatis Jr.,SD,RF,2016
91,Shane McClanahan,TB,SP,2016
92,Steven Kwan,CLE,LF,2016
93,Teoscar Hernandez,SEA,RF,2016
94,Eugenio Suarez,SEA,3B,2016
95,Will Smith,LAD,C,2016
96,Jesus Luzardo,MIA,SP,2016
97,Jorge Soler,MIA,DH,2016
98,Alec Bohm,PHI,1B,2016
98,Bryce Elder,ATL,SP,2016
100,Camilo Doval,SF,RP,2016
1,Ronald Acuna Jr.,ATL,RF,2017
2,Mookie Betts,LAD,RF,2017
3,Freddie Freeman,LAD,1B,2017
4,Matt Olson,ATL,1B,2017
5,Kyle Tucker,HOU,RF,2017
6,Gerrit Cole,NYY,SP,2017
7,Juan Soto,SD,LF,2017
8,Austin Riley,ATL,3B,2017
9,Corey Seager,TEX,SS,2017
10,Marcus Semien,TEX,2B,2017
11,Blake Snell,SD,SP,2017
12,Julio Rodriguez,SEA,CF,2017
13,Yandy Diaz,TB,1B,2017
13,Ozzie Albies,ATL,2B,2017
15,Corbin Carroll,ARI,LF,2017
16,Alex Bregman,HOU,3B,2017
17,Kyle Schwarber,PHI,LF,2017
18,Zac Gallen,ARI,SP,2017
19,Francisco Lindor,NYM,SS,2017
20,Bobby Witt Jr.,KC,SS,2017
21,Adolis Garcia,TEX,RF,2017
22,Justin Steele,CHC,SP,2017
23,Rafael Devers,BOS,3B,2017
24,Christian Yelich,MIL,LF,2017
25,Yordan Alvarez,HOU,LF,2017
26,Luis Castillo,SEA,SP,2017
27,Pete Alonso,NYM,1B,2017
28,Cody Bellinger,CHC,CF,2017
29,Kyle Bradish,BAL,SP,2017
30,Adley Rutschman,BAL,C,2017
31,Clayton Kershaw,LAD,SP,2017
32,Jose Ramirez,CLE,3B,2017
33,William Contreras,MIL,C,2017
34,Kodai Senga,NYM,SP,2017
35,Max Muncy,LAD,3B,2017
36,Kevin Gausman,TOR,SP,2017
37,Logan Webb,SF,SP,2017
38,Devin Williams,MIL,RP,2017
39,Trea Turner,PHI,SS,2017
40,Zack Wheeler,PHI,SP,2017
41,Luis Arraez,MIA,2B,2017
42,Marcell Ozuna,ATL,DH,2017
42,Nico Hoerner,CHC,2B,2017
44,Ketel Marte,ARI,2B,2017
45,Nathaniel Lowe,TEX,1B,2017
46,Sonny Gray,MIN,SP,2017
47,Christian Walker,ARI,1B,2017
48,Spencer Strider,ATL,SP,2017
49,Zach Eflin,TB,SP,2017
50,Felix Bautista,BAL,RP,2017
51,Corbin Burnes,MIL,SP,2017
52,Randy Arozarena,TB,LF,2017
53,Nick Castellanos,PHI,RF,2017
54,George Kirby,SEA,SP,2017
55,Merrill Kelly,ARI,SP,2017
56,Lane Thomas,WSH,RF,2017
57,J.P. Crawford,SEA,SS,2017
58,Ian Happ,CHC,LF,2017
59,Bryce Harper,PHI,DH,2017
60,Paul Goldschmidt,STL,1B,2017
61,Chris Bassitt,TOR,SP,2017
62,Gunnar Henderson,BAL,3B,2017
63,Jordan Montgomery,TEX,SP,2017
64,Framber Valdez,HOU,SP,2017
65,Aaron Judge,NYY,RF,2017
66,Brandon Nimmo,NYM,CF,2017
66,Michael Wacha,SD,SP,2017
66,Isaac Paredes,TB,3B,2017
69,Justin Verlander,HOU,SP,2017
70,Josh Hader,SD,RP,2017
71,Spencer Torkelson,DET,1B,2017
72,Anthony Santander,BAL,RF,2017
73,Vladimir Guerrero Jr.,TOR,1B,2017
74,Xander Bogaerts,SD,SS,2017
75,David Bednar,PIT,RP,2017
76,Tanner Bibee,CLE,SP,2017
77,Spencer Steer,CIN,1B,2017
78,Justin Turner,BOS,DH,2017
79,Pablo Lopez,MIN,SP,2017
80,Shohei Ohtani,LAA,DH,2017
81,Evan Phillips,LAD,RP,2017
82,Eduardo Rodriguez,DET,SP,2017
83,Alexis Diaz,CIN,RP,2017
84,Gleyber Torres,NYY,2B,2017
85,Jose Altuve,HOU,2B,2017
86,Luis Robert Jr.,CHW,CF,2017
87,Logan Gilbert,SEA,SP,2017
88,Bo Bichette,TOR,SS,2017
89,Seiya Suzuki,CHC,RF,2017
90,Fernando Tatis Jr.,SD,RF,2017
91,Shane McClanahan,TB,SP,2017
92,Steven Kwan,CLE,LF,2017
93,Teoscar Hernandez,SEA,RF,2017
94,Eugenio Suarez,SEA,3B,2017
95,Will Smith,LAD,C,2017
96,Jesus Luzardo,MIA,SP,2017
97,Jorge Soler,MIA,DH,2017
98,Alec Bohm,PHI,1B,2017
98,Bryce Elder,ATL,SP,2017
100,Camilo Doval,SF,RP,2017
1,Ronald Acuna Jr.,ATL,RF,2018
2,Mookie Betts,LAD,RF,2018
3,Freddie Freeman,LAD,1B,2018
4,Matt Olson,ATL,1B,2018
5,Kyle Tucker,HOU,RF,2018
6,Gerrit Cole,NYY,SP,2018
7,Juan Soto,SD,LF,2018
8,Austin Riley,ATL,3B,2018
9,Corey Seager,TEX,SS,2018
10,Marcus Semien,TEX,2B,2018
11,Blake Snell,SD,SP,2018
12,Julio Rodriguez,SEA,CF,2018
13,Yandy Diaz,TB,1B,2018
13,Ozzie Albies,ATL,2B,2018
15,Corbin Carroll,ARI,LF,2018
16,Alex Bregman,HOU,3B,2018
17,Kyle Schwarber,PHI,LF,2018
18,Zac Gallen,ARI,SP,2018
19,Francisco Lindor,NYM,SS,2018
20,Bobby Witt Jr.,KC,SS,2018
21,Adolis Garcia,TEX,RF,2018
22,Justin Steele,CHC,SP,2018
23,Rafael Devers,BOS,3B,2018
24,Christian Yelich,MIL,LF,2018
25,Yordan Alvarez,HOU,LF,2018
26,Luis Castillo,SEA,SP,2018
27,Pete Alonso,NYM,1B,2018
28,Cody Bellinger,CHC,CF,2018
29,Kyle Bradish,BAL,SP,2018
30,Adley Rutschman,BAL,C,2018
31,Clayton Kershaw,LAD,SP,2018
32,Jose Ramirez,CLE,3B,2018
33,William Contreras,MIL,C,2018
34,Kodai Senga,NYM,SP,2018
35,Max Muncy,LAD,3B,2018
36,Kevin Gausman,TOR,SP,2018
37,Logan Webb,SF,SP,2018
38,Devin Williams,MIL,RP,2018
39,Trea Turner,PHI,SS,2018
40,Zack Wheeler,PHI,SP,2018
41,Luis Arraez,MIA,2B,2018
42,Marcell Ozuna,ATL,DH,2018
42,Nico Hoerner,CHC,2B,2018
44,Ketel Marte,ARI,2B,2018
45,Nathaniel Lowe,TEX,1B,2018
46,Sonny Gray,MIN,SP,2018
47,Christian Walker,ARI,1B,2018
48,Spencer Strider,ATL,SP,2018
49,Zach Eflin,TB,SP,2018
50,Felix Bautista,BAL,RP,2018
51,Corbin Burnes,MIL,SP,2018
52,Randy Arozarena,TB,LF,2018
53,Nick Castellanos,PHI,RF,2018
54,George Kirby,SEA,SP,2018
55,Merrill Kelly,ARI,SP,2018
56,Lane Thomas,WSH,RF,2018
57,J.P. Crawford,SEA,SS,2018
58,Ian Happ,CHC,LF,2018
59,Bryce Harper,PHI,DH,2018
60,Paul Goldschmidt,STL,1B,2018
61,Chris Bassitt,TOR,SP,2018
62,Gunnar Henderson,BAL,3B,2018
63,Jordan Montgomery,TEX,SP,2018
64,Framber Valdez,HOU,SP,2018
65,Aaron Judge,NYY,RF,2018
66,Brandon Nimmo,NYM,CF,2018
66,Michael Wacha,SD,SP,2018
66,Isaac Paredes,TB,3B,2018
69,Justin Verlander,HOU,SP,2018
70,Josh Hader,SD,RP,2018
71,Spencer Torkelson,DET,1B,2018
72,Anthony Santander,BAL,RF,2018
73,Vladimir Guerrero Jr.,TOR,1B,2018
74,Xander Bogaerts,SD,SS,2018
75,David Bednar,PIT,RP,2018
76,Tanner Bibee,CLE,SP,2018
77,Spencer Steer,CIN,1B,2018
78,Justin Turner,BOS,DH,2018
79,Pablo Lopez,MIN,SP,2018
80,Shohei Ohtani,LAA,DH,2018
81,Evan Phillips,LAD,RP,2018
82,Eduardo Rodriguez,DET,SP,2018
83,Alexis Diaz,CIN,RP,2018
84,Gleyber Torres,NYY,2B,2018
85,Jose Altuve,HOU,2B,2018
86,Luis Robert Jr.,CHW,CF,2018
87,Logan Gilbert,SEA,SP,2018
88,Bo Bichette,TOR,SS,2018
89,Seiya Suzuki,CHC,RF,2018
90,Fernando Tatis Jr.,SD,RF,2018
91,Shane McClanahan,TB,SP,2018
92,Steven Kwan,CLE,LF,2018
93,Teoscar Hernandez,SEA,RF,2018
94,Eugenio Suarez,SEA,3B,2018
95,Will Smith,LAD,C,2018
96,Jesus Luzardo,MIA,SP,2018
97,Jorge Soler,MIA,DH,2018
98,Alec Bohm,PHI,1B,2018
98,Bryce Elder,ATL,SP,2018
100,Camilo Doval,SF,RP,2018
1,Ronald Acuna Jr.,ATL,RF,2019
2,Mookie Betts,LAD,RF,2019
3,Freddie Freeman,LAD,1B,2019
4,Matt Olson,ATL,1B,2019
5,Kyle Tucker,HOU,RF,2019
6,Gerrit Cole,NYY,SP,2019
7,Juan Soto,SD,LF,2019
8,Austin Riley,ATL,3B,2019
9,Corey Seager,TEX,SS,2019
10,Marcus Semien,TEX,2B,2019
11,Blake Snell,SD,SP,2019
12,Julio Rodriguez,SEA,CF,2019
13,Yandy Diaz,TB,1B,2019
13,Ozzie Albies,ATL,2B,2019
15,Corbin Carroll,ARI,LF,2019
16,Alex Bregman,HOU,3B,2019
17,Kyle Schwarber,PHI,LF,2019
18,Zac Gallen,ARI,SP,2019
19,Francisco Lindor,NYM,SS,2019
20,Bobby Witt Jr.,KC,SS,2019
21,Adolis Garcia,TEX,RF,2019
22,Justin Steele,CHC,SP,2019
23,Rafael Devers,BOS,3B,2019
24,Christian Yelich,MIL,LF,2019
25,Yordan Alvarez,HOU,LF,2019
26,Luis Castillo,SEA,SP,2019
27,Pete Alonso,NYM,1B,2019
28,Cody Bellinger,CHC,CF,2019
29,Kyle Bradish,BAL,SP,2019
30,Adley Rutschman,BAL,C,2019
31,Clayton Kershaw,LAD,SP,2019
32,Jose Ramirez,CLE,3B,2019
33,William Contreras,MIL,C,2019
34,Kodai Senga,NYM,SP,2019
35,Max Muncy,LAD,3B,2019
36,Kevin Gausman,TOR,SP,2019
37,Logan Webb,SF,SP,2019
38,Devin Williams,MIL,RP,2019
39,Trea Turner,PHI,SS,2019
40,Zack Wheeler,PHI,SP,2019
41,Luis Arraez,MIA,2B,2019
42,Marcell Ozuna,ATL,DH,2019
42,Nico Hoerner,CHC,2B,2019
44,Ketel Marte,ARI,2B,2019
45,Nathaniel Lowe,TEX,1B,2019
46,Sonny Gray,MIN,SP,2019
47,Christian Walker,ARI,1B,2019
48,Spencer Strider,ATL,SP,2019
49,Zach Eflin,TB,SP,2019
50,Felix Bautista,BAL,RP,2019
51,Corbin Burnes,MIL,SP,2019
52,Randy Arozarena,TB,LF,2019
53,Nick Castellanos,PHI,RF,2019
54,George Kirby,SEA,SP,2019
55,Merrill Kelly,ARI,SP,2019
56,Lane Thomas,WSH,RF,2019
57,J.P. Crawford,SEA,SS,2019
58,Ian Happ,CHC,LF,2019
59,Bryce Harper,PHI,DH,2019
60,Paul Goldschmidt,STL,1B,2019
61,Chris Bassitt,TOR,SP,2019
62,Gunnar Henderson,BAL,3B,2019
63,Jordan Montgomery,TEX,SP,2019
64,Framber Valdez,HOU,SP,2019
65,Aaron Judge,NYY,RF,2019
66,Brandon Nimmo,NYM,CF,2019
66,Michael Wacha,SD,SP,2019
66,Isaac Paredes,TB,3B,2019
69,Justin Verlander,HOU,SP,2019
70,Josh Hader,SD,RP,2019
71,Spencer Torkelson,DET,1B,2019
72,Anthony Santander,BAL,RF,2019
73,Vladimir Guerrero Jr.,TOR,1B,2019
74,Xander Bogaerts,SD,SS,2019
75,David Bednar,PIT,RP,2019
76,Tanner Bibee,CLE,SP,2019
77,Spencer Steer,CIN,1B,2019
78,Justin Turner,BOS,DH,2019
79,Pablo Lopez,MIN,SP,2019
80,Shohei Ohtani,LAA,DH,2019
81,Evan Phillips,LAD,RP,2019
82,Eduardo Rodriguez,DET,SP,2019
83,Alexis Diaz,CIN,RP,2019
84,Gleyber Torres,NYY,2B,2019
85,Jose Altuve,HOU,2B,2019
86,Luis Robert Jr.,CHW,CF,2019
87,Logan Gilbert,SEA,SP,2019
88,Bo Bichette,TOR,SS,2019
89,Seiya Suzuki,CHC,RF,2019
90,Fernando Tatis Jr.,SD,RF,2019
91,Shane McClanahan,TB,SP,2019
92,Steven Kwan,CLE,LF,2019
93,Teoscar Hernandez,SEA,RF,2019
94,Eugenio Suarez,SEA,3B,2019
95,Will Smith,LAD,C,2019
96,Jesus Luzardo,MIA,SP,2019
97,Jorge Soler,MIA,DH,2019
98,Alec Bohm,PHI,1B,2019
98,Bryce Elder,ATL,SP,2019
100,Camilo Doval,SF,RP,2019
1,Ronald Acuna Jr.,ATL,RF,2020
2,Mookie Betts,LAD,RF,2020
3,Freddie Freeman,LAD,1B,2020
4,Matt Olson,ATL,1B,2020
5,Kyle Tucker,HOU,RF,2020
6,Gerrit Cole,NYY,SP,2020
7,Juan Soto,SD,LF,2020
8,Austin Riley,ATL,3B,2020
9,Corey Seager,TEX,SS,2020
10,Marcus Semien,TEX,2B,2020
11,Blake Snell,SD,SP,2020
12,Julio Rodriguez,SEA,CF,2020
13,Yandy Diaz,TB,1B,2020
13,Ozzie Albies,ATL,2B,2020
15,Corbin Carroll,ARI,LF,2020
16,Alex Bregman,HOU,3B,2020
17,Kyle Schwarber,PHI,LF,2020
18,Zac Gallen,ARI,SP,2020
19,Francisco Lindor,NYM,SS,2020
20,Bobby Witt Jr.,KC,SS,2020
21,Adolis Garcia,TEX,RF,2020
22,Justin Steele,CHC,SP,2020
23,Rafael Devers,BOS,3B,2020
24,Christian Yelich,MIL,LF,2020
25,Yordan Alvarez,HOU,LF,2020
26,Luis Castillo,SEA,SP,2020
27,Pete Alonso,NYM,1B,2020
28,Cody Bellinger,CHC,CF,2020
29,Kyle Bradish,BAL,SP,2020
30,Adley Rutschman,BAL,C,2020
31,Clayton Kershaw,LAD,SP,2020
32,Jose Ramirez,CLE,3B,2020
33,William Contreras,MIL,C,2020
34,Kodai Senga,NYM,SP,2020
35,Max Muncy,LAD,3B,2020
36,Kevin Gausman,TOR,SP,2020
37,Logan Webb,SF,SP,2020
38,Devin Williams,MIL,RP,2020
39,Trea Turner,PHI,SS,2020
40,Zack Wheeler,PHI,SP,2020
41,Luis Arraez,MIA,2B,2020
42,Marcell Ozuna,ATL,DH,2020
42,Nico Hoerner,CHC,2B,2020
44,Ketel Marte,ARI,2B,2020
45,Nathaniel Lowe,TEX,1B,2020
46,Sonny Gray,MIN,SP,2020
47,Christian Walker,ARI,1B,2020
48,Spencer Strider,ATL,SP,2020
49,Zach Eflin,TB,SP,2020
50,Felix Bautista,BAL,RP,2020
51,Corbin Burnes,MIL,SP,2020
52,Randy Arozarena,TB,LF,2020
53,Nick Castellanos,PHI,RF,2020
54,George Kirby,SEA,SP,2020
55,Merrill Kelly,ARI,SP,2020
56,Lane Thomas,WSH,RF,2020
57,J.P. Crawford,SEA,SS,2020
58,Ian Happ,CHC,LF,2020
59,Bryce Harper,PHI,DH,2020
60,Paul Goldschmidt,STL,1B,2020
61,Chris Bassitt,TOR,SP,2020
62,Gunnar Henderson,BAL,3B,2020
63,Jordan Montgomery,TEX,SP,2020
64,Framber Valdez,HOU,SP,2020
65,Aaron Judge,NYY,RF,2020
66,Brandon Nimmo,NYM,CF,2020
66,Michael Wacha,SD,SP,2020
66,Isaac Paredes,TB,3B,2020
69,Justin Verlander,HOU,SP,2020
70,Josh Hader,SD,RP,2020
71,Spencer Torkelson,DET,1B,2020
72,Anthony Santander,BAL,RF,2020
73,Vladimir Guerrero Jr.,TOR,1B,2020
74,Xander Bogaerts,SD,SS,2020
75,David Bednar,PIT,RP,2020
76,Tanner Bibee,CLE,SP,2020
77,Spencer Steer,CIN,1B,2020
78,Justin Turner,BOS,DH,2020
79,Pablo Lopez,MIN,SP,2020
80,Shohei Ohtani,LAA,DH,2020
81,Evan Phillips,LAD,RP,2020
82,Eduardo Rodriguez,DET,SP,2020
83,Alexis Diaz,CIN,RP,2020
84,Gleyber Torres,NYY,2B,2020
85,Jose Altuve,HOU,2B,2020
86,Luis Robert Jr.,CHW,CF,2020
87,Logan Gilbert,SEA,SP,2020
88,Bo Bichette,TOR,SS,2020
89,Seiya Suzuki,CHC,RF,2020
90,Fernando Tatis Jr.,SD,RF,2020
91,Shane McClanahan,TB,SP,2020
92,Steven Kwan,CLE,LF,2020
93,Teoscar Hernandez,SEA,RF,2020
94,Eugenio Suarez,SEA,3B,2020
95,Will Smith,LAD,C,2020
96,Jesus Luzardo,MIA,SP,2020
97,Jorge Soler,MIA,DH,2020
98,Alec Bohm,PHI,1B,2020
98,Bryce Elder,ATL,SP,2020
100,Camilo Doval,SF,RP,2020
1,Ronald Acuna Jr.,ATL,RF,2021
2,Mookie Betts,LAD,RF,2021
3,Freddie Freeman,LAD,1B,2021
4,Matt Olson,ATL,1B,2021
5,Kyle Tucker,HOU,RF,2021
6,Gerrit Cole,NYY,SP,2021
7,Juan Soto,SD,LF,2021
8,Austin Riley,ATL,3B,2021
9,Corey Seager,TEX,SS,2021
10,Marcus Semien,TEX,2B,2021
11,Blake Snell,SD,SP,2021
12,Julio Rodriguez,SEA,CF,2021
13,Yandy Diaz,TB,1B,2021
13,Ozzie Albies,ATL,2B,2021
15,Corbin Carroll,ARI,LF,2021
16,Alex Bregman,HOU,3B,2021
17,Kyle Schwarber,PHI,LF,2021
18,Zac Gallen,ARI,SP,2021
19,Francisco Lindor,NYM,SS,2021
20,Bobby Witt Jr.,KC,SS,2021
21,Adolis Garcia,TEX,RF,2021
22,Justin Steele,CHC,SP,2021
23,Rafael Devers,BOS,3B,2021
24,Christian Yelich,MIL,LF,2021
25,Yordan Alvarez,HOU,LF,2021
26,Luis Castillo,SEA,SP,2021
27,Pete Alonso,NYM,1B,2021
28,Cody Bellinger,CHC,CF,2021
29,Kyle Bradish,BAL,SP,2021
30,Adley Rutschman,BAL,C,2021
31,Clayton Kershaw,LAD,SP,2021
32,Jose Ramirez,CLE,3B,2021
33,William Contreras,MIL,C,2021
34,Kodai Senga,NYM,SP,2021
35,Max Muncy,LAD,3B,2021
36,Kevin Gausman,TOR,SP,2021
37,Logan Webb,SF,SP,2021
38,Devin Williams,MIL,RP,2021
39,Trea Turner,PHI,SS,2021
40,Zack Wheeler,PHI,SP,2021
41,Luis Arraez,MIA,2B,2021
42,Marcell Ozuna,ATL,DH,2021
42,Nico Hoerner,CHC,2B,2021
44,Ketel Marte,ARI,2B,2021
45,Nathaniel Lowe,TEX,1B,2021
46,Sonny Gray,MIN,SP,2021
47,Christian Walker,ARI,1B,2021
48,Spencer Strider,ATL,SP,2021
49,Zach Eflin,TB,SP,2021
50,Felix Bautista,BAL,RP,2021
51,Corbin Burnes,MIL,SP,2021
52,Randy Arozarena,TB,LF,2021
53,Nick Castellanos,PHI,RF,2021
54,George Kirby,SEA,SP,2021
55,Merrill Kelly,ARI,SP,2021
56,Lane Thomas,WSH,RF,2021
57,J.P. Crawford,SEA,SS,2021
58,Ian Happ,CHC,LF,2021
59,Bryce Harper,PHI,DH,2021
60,Paul Goldschmidt,STL,1B,2021
61,Chris Bassitt,TOR,SP,2021
62,Gunnar Henderson,BAL,3B,2021
